cluster_id,etalon_name
312,Заместитель главы города
313,Заместитель министра-начальник управления
314,Системный администратор систем
315,Начальник асф города курска
316,Заместитель директора по спортивной работе
317,Начальник службы
318,Начальник отдела юридического сопровождения услуг
319,Ведущий инженер
320,Педагог доп образования
321,Врач-невропатолог
322,Заведующий терап отд врач тер
323,Техник- программист
324,Заведующий отделением врач по рентгенэндоваскулярным
325,Врач -эндоскопист
326,Социальный педагог
327,Главный специалист-эксперт отдела экономики
328,Заведующий дневным стационаром врач-оториноларинголог
329,Инженер по инвентаризации строений сооружений
330,Руководитель колектива
331,Заведующий сопровождением
332,Инструктор-методист по адаптивной культуре
333,Начальника отдела учета
334,Методист по работе детскими юношесткими
335,Заведующий центром
336,Начальник иссл лаборатории
337,Рентген-лаборант
338,Заместитель начальника финансово-экономического отдела экономист
339,Художник модельер костюма
340,Заместитель начальника еддс
341,Рабочий по кухни
342,Заместитель директора главный инженер
343,Ведущий эксперт управления экономики финансов
344,Специалист по работе еис
345,Начальник управления экономического планирования государственных
346,Учитель истории обществознания
347,Убрщик служебных помещений
348,Заместитель директора по учебной работе
349,Начальник управления правовой работы государственной
350,Техник-энергетик
351,Бухгалтер ревизор
352,Заведующий художественно постановочной частью
353,Редактор-аналитик
354,Ветеринарный врач
355,Уборщик служебных помещений фапа
356,Заведующая отделением реабилитации
357,Художник декоратор
358,Учитель технологии
359,Учитель биологии
360,Специалист по ведению учета
361,Аккомпониатор
362,Врач психиатр- нарколог
363,Врач- терапевт подростковый
364,Начальника юридического отдела
365,Преподаватель духовых инструментов
366,Заведующий хозяйством
367,Заведующий машиноописным бюро
368,Инспектор кадров
369,Сестра кабинета врача трансфузиолога
370,Врач-гериатр
371,Дизайнер-график
372,Ведущий специалист-эксперт отдела кадровой организационной
373,Режиссер
374,Специалист по охране труда
375,Пдо по познав развитию
376,Секретарь -машинистка
377,Заместитель врача по вопросам
378,Врач бактериолог
379,Консультант отдела экономического развития трудовых
380,Глава поселка медвенка
381,Врач стац
382,Консультант отдела жилищно хозяйства щигры
383,Уборщик производственных помещений
384,Сторож теткино
385,Врач акушер гинеколог поликлиники
386,Ведущий спрециалист-эксперт
387,Начальник управления кадровой политики государственной
388,Водитель по труд договору
389,Оперативный дежурный
390,Корреспондент -ой категории
391,Начальник управления организации обеспечения
392,Психолог
393,Заведующий читальным залом
394,Техник
395,Специалист по переданным полномочиям
396,Заместитель дир по хоз части
397,Ведущий бухгалтер контрактный управляющий
398,Начальник отдела по общим вопросам
399,Заведующий отделением врач-физиотерапевт
400,Уборщик служ помощник общепол немед
401,Главный врач медицинского пункта стадиона
402,Рентгенолаборант
403,Специалист по земельным имущественным вопросам
404,Специалист по смм-продвижению
405,Заместитель губернатора
406,Начальник уч-ка
407,Консультант отдела
408,Зубной техник
409,Заведующая сектором обслуживания
410,Врач по физиотерапии
411,Начальник отдела жкх управления строительства
412,Кочегар
413,Ведущий специалист-эксперт отдела апк природопользования
414,Системный администратор
415,Ведущий специалист-эксперт ответственный секретарь комиссии
416,Ведущий библиотекарь абонемента
417,Специалист по вус
418,Дежурный оперативный
419,Концертмейстер
420,Заведующий отделом работы
421,Заведующий кабинетом-врач-методист
422,Врач -стоматолог ортопед
423,Врач-патологоанатом
424,Заместитель начальника
425,Методист лаборатории инновационных проектов обеспечения
426,Библиотекарь центра правовой информации
427,Уборщик служ помещ
428,Заместитель начальника отдела программир-я обслуж-я
429,Консультант управления финансов
430,Врач-педиатр орви
431,Врач ультразвуковой диагностики кабинет врача
432,Помощник руководителя
433,Заведующий садом
434,Врач лаборатории
435,Старший вожатый
436,Учитель информатики
437,Слесарь-монтажник оборудования
438,Заместитель главы по социальным вопросам
439,Врач-трансфузиолог
440,Уборщик производ служеб помещений
441,Начальник управления контроля организации карантина
442,Ведущий специалист-эксперт отдела информатизации предоставления
443,Преподаватель по внеклассной работе
444,Начальник управления делами организационной работы
445,Тренер-преподаватель по адаптивной культуре
446,Консультант отдела правовой организационной кадровой
447,Начальник отдела учета заработной платы
448,Фельд лаборант
449,Техник-смотритель
450,Ведущий специалист- эксперт
451,Рабочий
452,Педагог по предмету
453,Заместитель начальника инспекции-начальник отдела надзора
454,Служебная
455,Ведущий бухгалтер по начислению платы
456,Ведущий эксперт обеспечения
457,Консультант по управлению имуществом
458,Заведующий врачебной амбулаторией-врач-терапевт
459,Специалист -администратор баз данных пэвм
460,Врач-диетолог
461,Заместитель редактора редактор отдела обеспечения
462,Провизор-технолог
463,Редактор отдела
464,Секретарь учебной части
465,Руководитель центра тестирования
466,Заведующий сектором досуговой работы
467,Юрист-консульт
468,Заведующая отделом
469,Ведущий специалист-эксперт отдела загс
470,Осветитель
471,Паспортист
472,Ведущий специалист-эксперт по услугам информационно-коммуникационным
473,Врач общей практики
474,Консультант отдела контроля исполнения бюджетной
475,Редактор сайта
476,Старший фельдшер помощи
477,Заведующий отделением врач-челюстно-лицевой хирург
478,Первый заместитель министра строительства
479,Старший инстуктор-методист
480,Начальник отдела управления аграрной политики
481,Тех служащий
482,Заведующий отделением врач-аллерголог-иммунолог
483,Заместитель начальника управления государственных услуг
484,Врач-токсиколог
485,Начальник отдела жкх промышленности транспорта
486,Техник- слесарь
487,Заместитель начальник отдела обеспечения аппарата
488,Заместитель директора главный бухгалтер
489,Начальник инженерно-технического отдела
490,Преподаватель по хореографии
491,Санитарка бак отд
492,Заведующий педиатр отд
493,Художник постановщик театр эстрадных миниатюр
494,Учитель классов
495,Аппаратчик химводоочистки
496,Специалист по документации
497,Временно исполняющий обязанности начальника управления
498,Начальник отдела помощи отдельным категориям
499,Заведующий отделением врач -онколог
500,Ведущий специалист по работе молодежью
501,Начальник отдела аграрной политики
502,Бухгалтер уровня внутридолжностной категории
503,Кастелянша
504,Заведующая отделением социально обслуживания отделение
505,Санитарки
506,Заведующий отделением врач-нефролог
507,Заместитель директора по эксплуатации сооружения
508,Вахтер гардеробщик
509,Ведущий экономист по финансовой работе
510,Юрисконсульт отдела учета распределения жилой
511,Методист отдела досуга
512,Тьютор молодой специалист
513,Начальник отдела центра занятости населения
514,Начальник центра
515,Врач-пульмонолог
516,Начальник отдела стоительства градостоительства дорожной
517,Машинист компрессорных установок
518,Консультант собрания
519,Классное руководитель-во фед
520,Водитель класса главы города курска
521,Главный бухгалтер
522,Электромеханик
523,Ведущий инспектор органа
524,Специалист по снабжению
525,Начальник отдела расчетов юридическими физическими
526,Начальник отдела по земельным ресурсам
527,Заведующий сектором
528,Уборщик отдела физкультуры спорта
529,Учитель музыки
530,Уборщик помощник
531,Инспектор по организации трудоустройства учету
532,Машинист по старший белья
533,Оператор оборудования отходов
534,Заведующая сектором электронных информационных ресурсов
535,Главный специалист документовед
536,Инструктор-методист физкультурно-спортивных организаций
537,Главный специал -эксперт
538,Инженер по технике безопастности
539,Художественный руководитель ансамбля народных инструментов
540,Муз руководитель
541,Врач анест реан
542,Юрисконсульт
543,Специалист по учету музейных предметов
544,Ведущий программист по школьным информационный
545,Начальник отряда
546,Заместитель министра здравоохранения
547,Электромонт по ремонту эксплуатации электрооборудования
548,Начальник отдела животноводства экономического развития
549,Делопроизводитель старший
550,Дирижер
551,Консультант по вопросам социально-экономического развития
552,Ведущий специалист-эксперт по культуре спорту
553,Кух рабочая
554,Санитарка операционная
555,Специалист по организации водоснабжения населения
556,Заведующий гаража
557,Начальник группы хозяйственного обеспечения
558,Техник по эксплуотации оборудования газовых
559,Кассир -контролер
560,Сторож
561,Экспедитор по перевозке грузов
562,Ведущий специалист-эксперт по охране окружающей
563,Заместитель главы по вопросам
564,Руководитель главный редактор
565,Уборщица
566,Учитель библиот
567,Билетный кассир
568,Методист по кино
569,Заведующий отделением профилактики врач терапевт
570,Врач лабораторной диагностики
571,Экономист
572,Вожатый
573,Рабочий по кухне
574,Заведующий пункт акушерка
575,Заведующий лабораторией
576,Санитар клинико лаборатории
577,Водитель по участку
578,Учитель оош
579,Акушер кабинета врача акушер-гинеколога
580,Врач-психотерапевт
581,Заместитель председателя комитета
582,Ведущий специалист службы протокола
583,Заведующий отделением врач-радиолог
584,Юристконсульт
585,Контролер кассир
586,Руководитель ансамбля
587,Заведующий столовой
588,Специалист по делам молодежи спорта
589,Чтец мастер слова
590,Заведующая отделением пребывания
591,Начальник отдела по выплате пособий
592,Специалист по учету
593,Сестра участковая кабинета врача-терапевта
594,Начальник штаба
595,Специалист отдела экономики развития предпринимательства
596,Водитель машины
597,Уборщик помещения -ый пункт
598,Исполняющий обязанности заместителя главы делами
599,Ведущий специалист-эксперт отдела обеспечения города
600,Заведующий отд врач-инфекционист
601,Заместитель главы по финансам экономике
602,Преподаватель теории фортепиано
603,Медпсихолог
604,Начальник управления аграрной политики охраны
605,Санитарка мед персонала
606,Балетмейстер танца
607,Договор подряд
608,Заместитель директора по учеб работе
609,Специалист отдела правовой организ кадровой
610,Главный специалист-эксперт по назначению выплате
611,Ведущий специалист поддержки
612,Бухгалтер кассир
613,Начальник отдела перспективных проектов
614,Главный консультант управления организации ветеринарных
615,Машинист сцены
616,Заведующий отделением врач по паллиотивной
617,Врач экстренный невролог
618,Инженер по автоматизированным системам управления
619,Техник по ремонту обслуживанию ср-в
620,Медицинска сестра процедурной
621,Совм преподаватель проф цикла
622,Консультант отдела по мобилизационной работе
623,Старший инженер
624,Консультант архитектор
625,Врач бактериолог лаборатории
626,Врач венеролог
627,Санитарка ванщица
628,Водитель автобуса
629,Начальник отдела учета отчетности органов
630,Начальник отдела делопроизводства аппарата
631,Акушерка
632,Заместитель главы города фатежа
633,Столяр-плотник
634,Учитель вожатая
635,Главный специалист планово-экономического сектора
636,Начальник отдела архитектуры строительства жкх
637,Руководитель коллектива
638,Начальник отдела жкх транспорта связи
639,Начальник отдела хозяйственного обеспечения
640,Заведующий отделом по работе детьми
641,Препод -организ основам безопасности жизнедеятельности
642,Консультант главный бухгалтер
643,Санитар кабинета
644,Врач отоларинголог
645,Руководитель оркестровой студии
646,Секретарь-делопроизводитель
647,Врач по спортивной медицине
648,Репетитор по вокалу
649,Врач дерматолог
650,Начальник отдел
651,Тракторист
652,Специалист отдела закупок
653,Завед отд -врач-рефлексотерапевт
654,Уборщик служ помещений
655,Специалист анализа воды
656,Ведущий переводчик языка
